lat_bnds,lon_bnds,Aerosol_Optical_Depth(Land),Average_Temperature,Relative_humidity,PM2.5
-83.0,-178.0,0.823323568517534,243.11458,78.625,7.630604914840727e-10
-83.0,-177.0,0.823323568517534,243.11458,78.625,7.630604914840727e-10
-82.0,-178.0,0.823323568517534,243.11458,78.625,7.630604914840727e-10
-82.0,-177.0,0.823323568517534,243.11458,78.625,7.630604914840727e-10
-83.0,-176.0,0.823323568517534,238.5,79.3125,7.596384894063151e-10
-82.0,-176.0,0.823323568517534,238.5,79.3125,7.596384894063151e-10
-83.0,-175.0,0.823323568517534,241.65625,58.6875,7.5835192792866e-10
-82.0,-175.0,0.823323568517534,241.65625,58.6875,7.5835192792866e-10
-83.0,-174.0,0.823323568517534,239.61719,59.625,7.559228225534557e-10
-82.0,-174.0,0.823323568517534,239.61719,59.625,7.559228225534557e-10
-83.0,-173.0,0.823323568517534,241.16406,70.833336,7.54457481054333e-10
-82.0,-173.0,0.823323568517534,241.16406,70.833336,7.54457481054333e-10
-83.0,-172.0,0.823323568517534,239.48438,65.25,7.663296925481606e-10
-82.0,-172.0,0.823323568517534,239.48438,65.25,7.663296925481606e-10
-83.0,-171.0,0.823323568517534,238.67188,53.875,7.669035577653441e-10
-82.0,-171.0,0.823323568517534,238.67188,53.875,7.669035577653441e-10
-83.0,-170.0,0.823323568517534,241.94792,57.375,7.651410283303993e-10
-82.0,-170.0,0.823323568517534,241.94792,57.375,7.651410283303993e-10
-83.0,-169.0,0.823323568517534,241.03125,77.0,7.627432932921123e-10
-82.0,-169.0,0.823323568517534,241.03125,77.0,7.627432932921123e-10
-83.0,-168.0,0.823323568517534,240.54688,65.916664,7.70752659957675e-10
-82.0,-168.0,0.823323568517534,240.54688,65.916664,7.70752659957675e-10
-83.0,-167.0,0.823323568517534,240.45,77.75,7.954595033755443e-10
-82.0,-167.0,0.823323568517534,240.45,77.75,7.954595033755443e-10
-83.0,-166.0,0.823323568517534,240.40625,80.5,7.958670902226286e-10
-82.0,-166.0,0.823323568517534,240.40625,80.5,7.958670902226286e-10
-83.0,-164.0,0.823323568517534,242.03125,92.0,7.982307895102769e-10
-82.0,-164.0,0.823323568517534,242.03125,92.0,7.982307895102769e-10
-83.0,-163.0,0.823323568517534,239.38542,98.0,8.049675516272343e-10
-82.0,-163.0,0.823323568517534,239.38542,98.0,8.049675516272343e-10
-83.0,-162.0,0.823323568517534,239.15625,98.0,8.198032319442004e-10
-82.0,-162.0,0.823323568517534,239.15625,98.0,8.198032319442004e-10
-83.0,-161.0,0.823323568517534,241.71875,80.5625,8.197883548032062e-10
-82.0,-161.0,0.823323568517534,241.71875,80.5625,8.197883548032062e-10
-83.0,-160.0,0.823323568517534,240.40625,60.25,8.197811833842487e-10
-82.0,-160.0,0.823323568517534,240.40625,60.25,8.197811833842487e-10
-83.0,-159.0,0.823323568517534,242.11458,75.625,8.366512382627241e-10
-82.0,-159.0,0.823323568517534,242.11458,75.625,8.366512382627241e-10
-83.0,-158.0,0.823323568517534,242.69792,78.916664,8.505695046823101e-10
-82.0,-158.0,0.823323568517534,242.69792,78.916664,8.505695046823101e-10
-83.0,-157.0,0.823323568517534,242.95833,78.75,8.683460540148581e-10
-82.0,-157.0,0.823323568517534,242.95833,78.75,8.683460540148581e-10
-83.0,-156.0,0.823323568517534,243.34375,88.0,8.687840885453988e-10
-82.0,-156.0,0.823323568517534,243.34375,88.0,8.687840885453988e-10
-83.0,-155.0,0.823323568517534,243.78125,88.0,8.691640249651377e-10
-82.0,-155.0,0.823323568517534,243.78125,88.0,8.691640249651377e-10
-83.0,-61.0,0.823323568517534,233.5,78.0,6.775290717239961e-10
-82.0,-61.0,0.823323568517534,233.5,78.0,6.775290717239961e-10
-83.0,-60.0,0.823323568517534,233.5,78.0,6.775290717239961e-10
-82.0,-60.0,0.823323568517534,233.5,78.0,6.775290717239961e-10
-83.0,-59.0,0.823323568517534,233.5,78.0,6.811438488844691e-10
-82.0,-59.0,0.823323568517534,233.5,78.0,6.811438488844691e-10
-83.0,-58.0,0.823323568517534,233.5,78.0,6.866823154855409e-10
-82.0,-58.0,0.823323568517534,233.5,78.0,6.866823154855409e-10
-83.0,164.0,0.823323568517534,243.5625,69.083336,6.230058273743589e-10
-82.0,164.0,0.823323568517534,243.5625,69.083336,6.230058273743589e-10
-83.0,165.0,0.823323568517534,251.51562,64.05,6.230058273743589e-10
-82.0,165.0,0.823323568517534,251.51562,64.05,6.230058273743589e-10
-83.0,166.0,0.823323568517534,250.69792,61.390625,6.430120703034803e-10
-82.0,166.0,0.823323568517534,250.69792,61.390625,6.430120703034803e-10
-83.0,167.0,0.823323568517534,247.5039,56.421875,6.956702873746475e-10
-82.0,167.0,0.823323568517534,247.5039,56.421875,6.956702873746475e-10
-83.0,168.0,0.823323568517534,246.86328,61.72222,6.956702873746475e-10
-82.0,168.0,0.823323568517534,246.86328,61.72222,6.956702873746475e-10
-83.0,169.0,0.823323568517534,243.73215,66.07143,6.956702873746475e-10
-82.0,169.0,0.823323568517534,243.73215,66.07143,6.956702873746475e-10
-83.0,170.0,0.823323568517534,243.18303,72.916664,6.956702873746475e-10
-82.0,170.0,0.823323568517534,243.18303,72.916664,6.956702873746475e-10
-83.0,171.0,0.823323568517534,244.25,74.333336,6.975592984651126e-10
-82.0,171.0,0.823323568517534,244.25,74.333336,6.975592984651126e-10
-83.0,172.0,0.823323568517534,241.75447,69.44444,6.975592984651126e-10
-82.0,172.0,0.823323568517534,241.75447,69.44444,6.975592984651126e-10
-83.0,173.0,0.823323568517534,242.5039,69.21429,6.975592984651126e-10
-82.0,173.0,0.823323568517534,242.5039,69.21429,6.975592984651126e-10
-81.0,-178.0,0.823323568517534,241.13126,69.35,7.771616418965723e-10
-81.0,-177.0,0.823323568517534,241.13126,69.35,7.771616418965723e-10
-81.0,-176.0,0.823323568517534,240.775,70.666664,7.762306233393106e-10
-81.0,-175.0,0.823323568517534,240.27083,71.083336,7.761611633894964e-10
-81.0,-174.0,0.823323568517534,240.48125,80.666664,7.862247715730528e-10
-81.0,-173.0,0.823323568517534,240.64844,80.833336,7.858405823946349e-10
-81.0,-172.0,0.823323568517534,240.0125,78.833336,7.848046957087915e-10
-81.0,-171.0,0.823323568517534,240.33594,66.5,7.966955879666068e-10
-81.0,-170.0,0.823323568517534,239.89844,60.0,8.116326583227778e-10
-81.0,-169.0,0.823323568517534,242.53125,75.0,8.149811098911417e-10
-81.0,-168.0,0.823323568517534,241.375,75.0,8.143902750235578e-10
-81.0,-167.0,0.823323568517534,242.9375,83.5,8.220871113462144e-10
-81.0,-166.0,0.823323568517534,243.13542,68.0,8.413441118665378e-10
-81.0,-165.0,0.823323568517534,243.5,68.0,8.400873027387104e-10
-81.0,-164.0,0.823323568517534,243.60417,77.0,8.370466496718948e-10
-81.0,-163.0,0.823323568517534,242.04688,83.0,8.390236416480829e-10
-81.0,-162.0,0.823323568517534,241.8125,74.25,8.55300245668423e-10
-81.0,-161.0,0.823323568517534,243.38542,78.166664,8.581316362696771e-10
-81.0,-160.0,0.823323568517534,243.42708,80.5,8.581316362696771e-10
-81.0,-159.0,0.823323568517534,243.39583,75.583336,8.716722472094868e-10
-81.0,-158.0,0.823323568517534,243.82292,73.125,8.910611538025424e-10
-81.0,-157.0,0.823323568517534,244.15625,85.0,9.174578241418823e-10
-81.0,-156.0,0.823323568517534,243.67708,85.0,9.169237508735683e-10
-81.0,-74.0,0.823323568517534,248.84375,95.5,5.339321369470896e-10
-81.0,-73.0,0.823323568517534,248.84375,95.5,5.308556488899129e-10
-81.0,-65.0,0.823323568517534,239.03125,99.0,5.936958617416623e-10
-81.0,-64.0,0.823323568517534,239.84375,97.5,5.905002719514322e-10
-81.0,-63.0,0.823323568517534,244.875,95.0,5.871253397412998e-10
-81.0,-62.0,0.823323568517534,244.875,93.0,5.917027866935313e-10
-81.0,-61.0,0.823323568517534,238.625,93.0,6.038143761200601e-10
-81.0,-60.0,0.823323568517534,238.625,93.0,6.101453839329536e-10
-81.0,-50.0,0.823323568517534,239.375,72.0,6.854790300170534e-10
-81.0,-49.0,0.823323568517534,239.375,72.0,7.219452768003832e-10
-81.0,-48.0,0.823323568517534,239.375,72.0,7.281669065614853e-10
-81.0,-47.0,0.823323568517534,235.90625,69.5,7.1984683657778e-10
-81.0,-46.0,0.823323568517534,235.9375,75.5,7.465653423998032e-10
-81.0,-45.0,0.823323568517534,235.96875,77.0,7.75112247809274e-10
-81.0,161.0,0.823323568517534,251.4375,99.5,6.526674628570846e-10
-81.0,162.0,0.823323568517534,244.78125,72.95,6.555669142754668e-10
-81.0,163.0,0.823323568517534,243.32031,69.44444,6.619717993033473e-10
-81.0,164.0,0.823323568517534,245.3375,69.388885,6.56402925257706e-10
-81.0,165.0,0.823323568517534,245.17188,71.333336,6.56402925257706e-10
-81.0,166.0,0.823323568517534,246.24374,72.84091,6.585110521448274e-10
-81.0,167.0,0.823323568517534,245.38542,70.666664,6.902538895041117e-10
-81.0,168.0,0.823323568517534,245.27734,68.104164,7.256708021147985e-10
-81.0,169.0,0.823323568517534,244.92188,68.13636,7.256708021147985e-10
-81.0,170.0,0.823323568517534,244.17578,63.13889,7.256708021147985e-10
-81.0,171.0,0.823323568517534,243.8698,62.03125,7.778248459165048e-10
-81.0,172.0,0.823323568517534,242.80624,65.59375,7.778248459165048e-10
-81.0,173.0,0.823323568517534,242.05469,68.03125,7.778248459165048e-10
-80.0,-178.0,0.823323568517534,244.26785,73.041664,8.292694666851668e-10
-80.0,-177.0,0.823323568517534,244.26785,73.041664,8.292694666851668e-10
-80.0,-176.0,0.823323568517534,245.57031,76.4,8.375428003125338e-10
-80.0,-175.0,0.823323568517534,244.71875,77.166664,8.365701530231442e-10
